days_since_2011,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
2,1,2011,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
2,1,2011,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
2,1,2011,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
2,1,2011,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
2,1,2011,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
2,1,2011,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
2,1,2011,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
3,1,2011,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
3,1,2011,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
3,1,2011,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
3,1,2011,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
3,1,2011,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
3,1,2011,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
3,1,2011,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
3,1,2011,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
3,1,2011,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
3,1,2011,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
3,1,2011,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
3,1,2011,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
3,1,2011,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
3,1,2011,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
3,1,2011,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
3,1,2011,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
3,1,2011,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
3,1,2011,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
3,1,2011,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
3,1,2011,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
3,1,2011,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
3,1,2011,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
3,1,2011,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
4,1,2011,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
4,1,2011,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
4,1,2011,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
4,1,2011,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
4,1,2011,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
4,1,2011,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
4,1,2011,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88
4,1,2011,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
4,1,2011,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115
4,1,2011,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57
4,1,2011,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
4,1,2011,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
4,1,2011,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
4,1,2011,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62
4,1,2011,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62
4,1,2011,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
4,1,2011,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190
4,1,2011,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
4,1,2011,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
4,1,2011,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
4,1,2011,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43
4,1,2011,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42
4,1,2011,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
5,1,2011,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
5,1,2011,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
5,1,2011,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
5,1,2011,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
5,1,2011,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
5,1,2011,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
5,1,2011,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
5,1,2011,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
5,1,2011,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
5,1,2011,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
5,1,2011,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
5,1,2011,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
5,1,2011,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
5,1,2011,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
5,1,2011,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
5,1,2011,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
5,1,2011,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
5,1,2011,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
5,1,2011,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
5,1,2011,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
5,1,2011,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
5,1,2011,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
5,1,2011,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23
6,1,2011,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17
6,1,2011,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7
6,1,2011,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
6,1,2011,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
6,1,2011,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
6,1,2011,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
6,1,2011,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
6,1,2011,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210
6,1,2011,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
6,1,2011,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63
6,1,2011,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67
6,1,2011,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59
6,1,2011,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
6,1,2011,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50
6,1,2011,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
6,1,2011,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
6,1,2011,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
6,1,2011,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
6,1,2011,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95
6,1,2011,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
6,1,2011,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39
6,1,2011,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36
6,1,2011,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15
7,1,2011,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25
7,1,2011,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
7,1,2011,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16
7,1,2011,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7
7,1,2011,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1
7,1,2011,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
7,1,2011,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
7,1,2011,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
7,1,2011,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
7,1,2011,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
7,1,2011,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61
7,1,2011,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
7,1,2011,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
7,1,2011,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
7,1,2011,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
7,1,2011,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
7,1,2011,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
7,1,2011,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
7,1,2011,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
7,1,2011,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
7,1,2011,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
7,1,2011,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
7,1,2011,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
7,1,2011,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
8,1,2011,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
8,1,2011,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
8,1,2011,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
8,1,2011,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
8,1,2011,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1
8,1,2011,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
8,1,2011,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
8,1,2011,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6
8,1,2011,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
8,1,2011,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
8,1,2011,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
8,1,2011,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
8,1,2011,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
8,1,2011,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
8,1,2011,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
8,1,2011,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82
8,1,2011,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
8,1,2011,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
8,1,2011,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
8,1,2011,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
8,1,2011,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
8,1,2011,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
8,1,2011,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
8,1,2011,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6
9,1,2011,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
9,1,2011,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
9,1,2011,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
9,1,2011,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
9,1,2011,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
9,1,2011,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
9,1,2011,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
9,1,2011,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
9,1,2011,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
9,1,2011,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
9,1,2011,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
9,1,2011,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
9,1,2011,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
9,1,2011,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
9,1,2011,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47
9,1,2011,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,45
9,1,2011,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
9,1,2011,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
9,1,2011,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,155
9,1,2011,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
9,1,2011,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
9,1,2011,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38
9,1,2011,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
9,1,2011,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
10,1,2011,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
10,1,2011,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
10,1,2011,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3
10,1,2011,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
10,1,2011,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
10,1,2011,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99
10,1,2011,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
10,1,2011,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,130
10,1,2011,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
10,1,2011,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
10,1,2011,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
10,1,2011,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
10,1,2011,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
10,1,2011,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,47
10,1,2011,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
10,1,2011,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
10,1,2011,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
10,1,2011,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
10,1,2011,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,32
10,1,2011,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,20
10,1,2011,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
10,1,2011,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,19
11,1,2011,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7
11,1,2011,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
11,1,2011,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
11,1,2011,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
11,1,2011,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
11,1,2011,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
11,1,2011,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
11,1,2011,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
11,1,2011,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
11,1,2011,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
11,1,2011,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
11,1,2011,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,49
11,1,2011,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
11,1,2011,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
11,1,2011,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,68
11,1,2011,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
11,1,2011,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
11,1,2011,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
11,1,2011,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
11,1,2011,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
11,1,2011,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
11,1,2011,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
12,1,2011,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
12,1,2011,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
12,1,2011,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
12,1,2011,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
12,1,2011,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
12,1,2011,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
12,1,2011,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
12,1,2011,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
12,1,2011,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,202
12,1,2011,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
12,1,2011,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
12,1,2011,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
12,1,2011,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
12,1,2011,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,83
12,1,2011,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,42
12,1,2011,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60
12,1,2011,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78
12,1,2011,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162
12,1,2011,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144
12,1,2011,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99
12,1,2011,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
12,1,2011,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
12,1,2011,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
12,1,2011,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,15
13,1,2011,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,14
13,1,2011,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
13,1,2011,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
13,1,2011,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
13,1,2011,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8
13,1,2011,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,17
13,1,2011,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
13,1,2011,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,158
13,1,2011,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117
13,1,2011,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,44
13,1,2011,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,53
13,1,2011,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,61
13,1,2011,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,77
13,1,2011,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,64
13,1,2011,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,68
13,1,2011,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,90
13,1,2011,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,159
13,1,2011,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,139
13,1,2011,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,92
13,1,2011,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,68
13,1,2011,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,52
13,1,2011,1,22,0,5,1,2,0.16,0.2273,0.69,0.0,36
13,1,2011,1,23,0,5,1,2,0.18,0.2424,0.55,0.0,27
14,1,2011,1,0,0,6,0,1,0.18,0.2424,0.55,0.0,28
14,1,2011,1,1,0,6,0,2,0.16,0.197,0.59,0.0896,20
14,1,2011,1,2,0,6,0,2,0.16,0.197,0.59,0.0896,12
14,1,2011,1,3,0,6,0,2,0.16,0.2273,0.59,0.0,8
14,1,2011,1,4,0,6,0,2,0.16,0.2273,0.59,0.0,5
14,1,2011,1,5,0,6,0,1,0.16,0.2273,0.59,0.0,1
14,1,2011,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,3
14,1,2011,1,7,0,6,0,1,0.14,0.2121,0.63,0.0,10
14,1,2011,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,23
14,1,2011,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343,33
14,1,2011,1,10,0,6,0,1,0.18,0.197,0.59,0.1642,59
14,1,2011,1,11,0,6,0,1,0.2,0.197,0.55,0.2239,72
14,1,2011,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,89
14,1,2011,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985,101
14,1,2011,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836,118
14,1,2011,1,15,0,6,0,2,0.32,0.3182,0.36,0.194,129
14,1,2011,1,16,0,6,0,2,0.34,0.3333,0.34,0.194,128
14,1,2011,1,17,0,6,0,2,0.32,0.303,0.36,0.2836,83
14,1,2011,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,84
14,1,2011,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,74
14,1,2011,1,20,0,6,0,2,0.32,0.303,0.39,0.2537,41
14,1,2011,1,21,0,6,0,2,0.32,0.303,0.39,0.2239,57
14,1,2011,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045,26
14,1,2011,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836,44
15,1,2011,1,0,0,0,0,1,0.26,0.303,0.56,0.0,39
15,1,2011,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343,23
15,1,2011,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896,16
15,1,2011,1,3,0,0,0,1,0.22,0.2727,0.69,0.0,15
15,1,2011,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,1
15,1,2011,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642,2
15,1,2011,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642,1
15,1,2011,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985,3
15,1,2011,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836,18
15,1,2011,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537,32
15,1,2011,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836,79
